VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"HINE3A6502","Householder Age 65-74 with Income $10000 to $14999",994967.923236754,24.4121972480004,801.888999025337,0,9397
"HINE3A6503","Householder Age 65-74 with Income $15000 to $19999",936995.874909008,22.9898146308366,461.320899415761,0,9164
"HINE3A6504","Householder Age 65-74 with Income $20000 to $24999",845140.843382577,20.7360905705174,490.899399602786,0,9121
"HINE3A6505","Householder Age 65-74 with Income $25000 to $29999",866923.989884145,21.2705545031318,471.463498919736,0,9074
"HINE3A6506","Householder Age 65-74 with Income $30000 to $34999",893805.944826464,21.930121079237,404.447299124673,0,9025
"HINE3A6507","Householder Age 65-74 with Income $35000 to $39999",789449.945300973,19.3696774860999,667.783701491542,0,9073
"HINE3A6508","Householder Age 65-74 with Income $40000 to $44999",821385.963535922,20.1532488538391,558.520599734038,0,8981
"HINE3A6509","Householder Age 65-74 with Income $45000 to $49999",765673.979823287,18.7863184194933,602.142899934668,0,9006
"HINE3A6510","Householder Age 65-74 with Income $50000 to $59999",1460817.95129615,35.8421363519432,1486.22629551357,0,8368
"HINE3A6511","Householder Age 65-74 with Income $60000 to $74999",2049150.10009339,50.2772554430746,2152.05899737822,0,8225
"HINE3A6512","Householder Age 65-74 with Income $75000 to $99999",2732638.93937447,67.0471069846767,2489.98739292519,0,8164
"HINE3A6513","Householder Age 65-74 with Income $100000 to $124999",1819455.94457691,44.6415571454452,1957.39349398157,0,8366
"HINE3A6514","Householder Age 65-74 with Income $125000 to $149999",1241728.91569708,30.466641698287,765.091599525418,0,8794
"HINE3A6515","Householder Age 65-74 with Income $150000 to $199999",1487068.96040415,36.4862222539478,1021.43069910165,0,9068
"HINE3A6516","Householder Age 65-74 with Income $200000 or more",2026500.87387914,49.7215416708576,2048.47849703673,0,9996
"HINE3A7501","Householder Age 75+ with Income Less than $10000",930369.005507335,22.8272199991985,1127.00050000916,0,9253
"HINE3A7502","Householder Age 75+ with Income $10000 to $14999",821830.949731746,20.1641668849951,783.064899258316,0,9611
"HINE3A7503","Householder Age 75+ with Income $15000 to $19999",928750.927992887,22.7875193952668,625.036897919606,0,9216
"HINE3A7504","Householder Age 75+ with Income $20000 to $24999",884626.840671576,21.7049056768549,713.505598790944,0,9118
"HINE3A7505","Householder Age 75+ with Income $25000 to $29999",866634.025477945,21.2634400342995,935.526301085949,0,9073
"HINE3A7506","Householder Age 75+ with Income $30000 to $34999",830119.986624119,20.3675438973457,637.10579878767,0,9111
"HINE3A7507","Householder Age 75+ with Income $35000 to $39999",697427.97698593,17.1118575210621,643.813500487246,0,9173
"HINE3A7508","Householder Age 75+ with Income $40000 to $44999",675647.971442455,16.5774706539356,547.503099555615,0,9211
"HINE3A7509","Householder Age 75+ with Income $45000 to $49999",588974.998814129,14.4508918422389,494.776499685366,0,9450
"HINE3A7510","Householder Age 75+ with Income $50000 to $59999",1082285.98324064,26.5546037058822,1135.19179575518,0,8539
"HINE3A7511","Householder Age 75+ with Income $60000 to $74999",1382731.094336,33.9262235772016,1406.88579710852,0,8358
"HINE3A7512","Householder Age 75+ with Income $75000 to $99999",1679722.96849745,41.2131159922824,1503.00029481621,0,8283
"HINE3A7513","Householder Age 75+ with Income $100000 to $124999",1044786.98012487,25.6345408181384,1038.48149627726,0,8683
"HINE3A7514","Householder Age 75+ with Income $125000 to $149999",663957.964037892,16.2906485766345,554.950601976365,0,9767
"HINE3A7515","Householder Age 75+ with Income $150000 to $199999",798750.000132246,19.5978604934673,738.251799851656,0,10253
"HINE3A7516","Householder Age 75+ with Income $200000 or more",1251689.99771742,30.7110434457253,1952.8264981918,0,11036
"HINE3A2401","Householder Age <25 with Income Less than $10000",615074.941844501,15.0912712379346,3905.98010026105,0,12060
"HINE3A2402","Householder Age <25 with Income $10000 to $14999",230739.963124542,5.6613578802302,1038.2524034977,0,15129
"HINE3A2403","Householder Age <25 with Income $15000 to $19999",217840.983814758,5.34487287618711,896.747101590037,0,14832
"HINE3A2404","Householder Age <25 with Income $20000 to $24999",241513.965607042,5.92570516983688,792.528301492333,0,13950
"HINE3A2405","Householder Age <25 with Income $25000 to $29999",248284.000011608,6.09181244968001,805.28179987683,0,13483
"HINE3A2406","Householder Age <25 with Income $30000 to $34999",293678.982097897,7.2056084132271,811.416901386343,0,12701
"HINE3A2407","Householder Age <25 with Income $35000 to $39999",233384.986096055,5.72625527139032,451.95800062269,0,13535
"HINE3A2408","Householder Age <25 with Income $40000 to $44999",261475.99410407,6.41548676556347,633.184499739669,0,12832
"HINE3A2409","Householder Age <25 with Income $45000 to $49999",197380.994613922,4.84287348465104,428.400500062853,0,13950
"HINE3A2410","Householder Age <25 with Income $50000 to $59999",397944.983529412,9.76384384349711,973.278800506145,0,10709
"HINE3A2411","Householder Age <25 with Income $60000 to $74999",522245.00540695,12.8136272396631,807.486300343648,0,9773
"HINE3A2412","Householder Age <25 with Income $75000 to $99999",563252.98290738,13.8197851389302,820.52939989604,0,9510
"HINE3A2413","Householder Age <25 with Income $100000 to $124999",302211.990701499,7.41497143316484,501.64209949784,0,11802
"HINE3A2414","Householder Age <25 with Income $125000 to $149999",164897.004611441,4.04585726651718,291.08570010215,0,15350
"HINE3A2415","Householder Age <25 with Income $150000 to $199999",162733.00210864,3.99276203127413,301.775899603963,0,16256
"HINE3A2416","Householder Age <25 with Income $200000 or more",186856.998908842,4.58466027697921,385.543299362063,0,17748
"HINE3MED24","Median Income Age <25",1758197794.06225,43138.5478338016,599999,0,7981
"HINE3MED25","Median Income Age 25-34",2539924858.1946,62318.7393133596,599999,0,7960
"HINE3MED35","Median Income Age 35-44",2839644950.61609,69672.5703711287,599999,0,7957
"HINE3MED45","Median Income Age 45-54",3289566480.40902,80711.6932161105,599999,0,7959
"HINE3MED55","Median Income Age 55-64",2747594500.41653,67414.0515841825,599999,0,7963
"HINE3MED65","Median Income Age 65-74",2156803607.58852,52918.6055791281,599999,0,7964
"HINE3MED75","Median Income Age 75+",1779452868.66023,43660.0551723687,599999,0,7966
"HINE3M2544","Median Income Age 25-44",2699375256.9621,66230.9604966533,599999,0,7953
"HINE3M4564","Median Income Age 45-64",2981213345.27564,73146.0447352759,599999,0,7951
"HINE3MGT65","Median Income Age 65+",2699375256.9621,66230.9604966533,599999,0,7953
"INCX3A","Ratio of income to poverty under 0.50",20712031.3606853,508.183412927479,13264.9082910716,0,8156
"INCX3BC","Ratio of income to poverty 0.50 - 0.99",22070220.6186551,541.507486288371,11759.2830178249,0,8128
"INCX3D","Ratio of income to poverty 1.00 - 1.24",12678047.3815966,311.064292798699,8914.50382642448,0,8480
"INCX3E","Ratio of income to poverty 1.25 - 1.49",13677906.531004,335.596499521653,6084.18580400443,0,8201
"INCX3FG","Ratio of income to poverty 1.50 - 1.74",18485413.6060993,453.551870993922,10852.4109058697,0,8304
"INCX3H","Ratio of income to poverty 1.75 - 1.99",8229499.58886039,201.91622516035,7437.80123181268,0,8620
"INCX3I","Ratio of income to poverty over 2.00",239197914.76176,5868.87932776602,114492.377342205,0,8013
"POVX3MED","Median Ratio of Income to Poverty",113381.657838526,2.78189410011842,6,0,7937
"POVX3UNDER","Percent Population Below Poverty Level",592904.478993518,14.547304242057,100,0,7964
"RNTX301","Cash Rent: Less than $100",359420.016795344,8.81860825858979,487.084699046798,0,14297
"RNTX302","Cash Rent: $100 to $149",332746.960282008,8.16416714385278,529.05939116911,0,13767
"RNTX303","Cash Rent: $150 to $199",481885.951510869,11.8233911109961,982.224799215794,0,11548
"RNTX304","Cash Rent: $200 to $249",709647.017497481,17.411659776173,1409.93059995025,0,10015
"RNTX305","Cash Rent: $250 to $299",581529.872530564,14.2682207358383,1741.68540150206,0,10386
"RNTX306","Cash Rent: $300 to $349",678573.891699946,16.6492600461257,754.106497935951,0,9641
"RNTX307","Cash Rent: $350 to $399",617875.933117899,15.1599954147238,870.883399773855,0,10289
